,t,x0,x1,x2,x3,u0,u1,u2,side
0,1634125295.534258,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0,left
1,1634125295.5515773,0.0,0.0,0.0,3.127049268600611,1.5,0.75,-1.163470799134565,left
2,1634125295.5722167,0.0007798102023067847,0.00038990510115339237,-0.006421805138252471,3.112512033154334,1.5,0.75,-1.1629788357021553,left
3,1634125295.5861094,0.0015621082025178623,0.0007747944078286165,-0.013025132741348509,3.0979870812064645,1.5,0.75,-1.16199615582957,left
4,1634125295.5973713,0.0023469306788678488,0.0011545095907526874,-0.019809982809288113,3.083480515636341,1.5,0.75,-1.1605252456098825,left
5,1634125295.6093636,0.0031343113817717725,0.0015288911717922843,-0.02677635534207128,3.0689983929545015,1.5,0.75,-1.1585698145471568,left
6,1634125295.6213691,0.003924281039291689,0.0018977785254994176,-0.03392425033969801,3.0545467083013405,1.5,0.75,-1.1561347722528836,left
7,1634125295.633359,0.004716867261790691,0.00226100988349587,-0.041253667802168305,3.0401313808288366,1.5,0.75,-1.1532261978003078,left
8,1634125295.6453578,0.005512094445798153,0.0026184223417884535,-0.04876460772948217,3.0257582395526863,1.5,0.75,-1.1498513020920242,left
9,1634125295.6573648,0.006309983677113859,0.0029698518711078004,-0.0564570701216396,3.0114330097567885,1.5,0.75,-1.146018383671823,left
10,1634125295.669357,0.007110552633182652,0.003315133330364025,-0.0643310549786406,2.9971613000257897,1.5,0.75,-1.1417367784799026,left
11,1634125295.681355,0.007913815484775303,0.003654100483313139,-0.07238656230048515,2.9829485899744053,1.5,0.75,-1.1370168041107576,left
12,1634125295.692366,0.008719782797015501,0.003986586018528576,-0.08062359208717328,2.968800218734634,1.5,0.75,-1.1318696991817134,left
13,1634125295.7043622,0.009528461429797214,0.004312421572772562,-0.08904214433870497,2.9547213742538916,1.5,0.75,-1.1263075584593807,left
14,1634125295.716356,0.010339854437641086,0.004631437757862378,-0.09764221905508023,2.9407170834486376,1.5,0.75,-1.1203432644203204,left
15,1634125295.728354,0.01115396096904315,0.004943464191126748,-0.10642381623629905,2.926792203249408,1.5,0.75,-1.1139904159383818,left
16,1634125295.741361,0.011970776165373797,0.005248329529547685,-0.11538693588236144,2.912951412564413,1.5,0.75,-1.1072632547995909,left
17,1634125295.7533584,0.012790291059389766,0.005545861507683114,-0.1245315779932674,2.899199205180162,1.5,0.75,-1.1001765907400696,left
18,1634125295.7653532,0.013612492473426878,0.005835886979465439,-0.13385774256901692,2.8855398836090376,1.5,0.75,-1.0927457256899586,left
19,1634125295.7773614,0.014437362917346264,0.006118231963970955,-0.14336542960961002,2.871977553885485,1.5,0.75,-1.0849863778842206,left
20,1634125295.7893567,0.015264880486312029,0.0063927216952546165,-0.15305463911504666,2.858516121304618,1.5,0.75,-1.0769146064693302,left
21,1634125295.8013577,0.01609501875848357,0.006659180676344076,-0.16292537108532687,2.8451592870896323,1.5,0.75,-1.0685467371988722,left
22,1634125295.813356,0.01692774669271119,0.006917432737486252,-0.17297762552045065,2.831910545967571,1.5,0.75,-1.059899289764914,left
23,1634125295.825359,0.017763028526329144,0.0071673010987387655,-0.183211402420418,2.818773184626726,1.5,0.75,-1.0509889072675804,left
24,1634125295.8373623,0.018600823673145857,0.007408608436997565,-0.19362670178522892,2.805750281023385,1.5,0.75,-1.0418322882672726,left
25,1634125295.8493567,0.019441086621736867,0.007641176957550824,-0.2042235236148834,2.792844704500687,1.5,0.75,-1.0324461218158731,left
26,1634125295.8613603,0.02028376683415173,0.007864828470247762,-0.21500186790938147,2.7800591166781747,1.5,0.75,-1.0228470258009636,left
27,1634125295.873356,0.02112880864515221,0.008079384470369447,-0.2259617346687231,2.7673959730671083,1.5,0.75,-1.013051488885317,left
28,1634125295.885361,0.02197615116210495,0.00828466622428678,-0.23710312389290827,2.7548575253637924,1.5,0.75,-1.003075816265273,left
29,1634125295.897356,0.022825728165658053,0.008480494859988807,-0.24842603558193702,2.7424458243710674,1.5,0.75,-0.9929360794179942,left
30,1634125295.9093547,0.023677468011337056,0.008666691462562253,-0.25993046973580936,2.7301627234966235,1.5,0.75,-0.9826480699555162,left
31,1634125295.9213629,0.024531293532202198,0.00884307717470061,-0.2716164263545252,2.718009882775953,1.5,0.75,-0.9722272576536284,left
32,1634125295.933356,0.025387121942715078,0.009009473302318367,-0.28348390543808466,2.7059887733674794,1.5,0.75,-0.9616887526778939,left
33,1634125295.945354,0.02624486474396928,0.009165701425342938,-0.29553290698648765,2.6941006824676537,1.5,0.75,-0.951047271986063,left
34,1634125295.9573617,0.027104427630445984,0.009311583513753502,-0.30776343099973424,2.682346718594543,1.5,0.75,-0.9403171098488627,left
35,1634125295.9693577,0.02796571039846204,0.00944694204893245,-0.3201754774778244,2.6707278171895905,1.5,0.75,-0.9295121123961891,left
36,1634125295.9813538,0.028828606856484598,0.00957160015039122,-0.3327690464207581,2.659244746488768,1.5,0.75,-0.9186456560658129,left
37,1634125295.9933627,0.029693004737492912,0.009685381707928124,-0.3455441378285354,2.6478981136161828,1.5,0.75,-0.9077306298068066,left
38,1634125296.0053623,0.030558785613574484,0.009788111519271336,-0.3585007517011562,2.6366883708553277,1.5,0.75,-0.8967794208684055,left
39,1634125296.017357,0.031425824812949456,0.009879615433255357,-0.3716388880386206,2.6256158220554933,1.5,0.75,-0.8858039039867549,left
40,1634125296.0293548,0.0322939913396236,0.00995972049857418,-0.38495854684092856,2.614680629133363,1.5,0.75,-0.874815433770415,left
41,1634125296.0413601,0.03316314779587698,0.010028255118148905,-0.3984597281080801,2.6038828186324343,1.5,0.75,-0.8638248400743009,left
42,1634125296.053356,0.034033150307801796,0.010085049209141722,-0.4121424318400752,2.593222288305622,1.5,0.75,-0.8528424261449885,left
43,1634125296.0653536,0.034903848454109584,0.010129934368642029,-0.4260066580369139,2.58269881368913,1.5,0.75,-0.8418779693193557,left
44,1634125296.0773625,0.03577508519843434,0.010162744045043906,-0.44005240669859613,2.5723120546384477,1.5,0.75,-0.8309407240545852,left
45,1634125296.0893576,0.0366466968253645,0.010183313715127268,-0.4542796778251219,2.5620615618000513,1.5,0.75,-0.8200394270717126,left
46,1634125296.1013584,0.03751851288044324,0.010191481066847682,-0.4686884714164913,2.5535900500422257,1.5,0.75,-0.6777209406260454,left
47,1634125296.1133575,0.038390356114382476,0.01018708618783223,-0.4832491309877787,2.5535900500422257,1.5,0.75,0.0,left
48,1634125296.125356,0.03926204293891283,0.010169997610730263,-0.49780979055906616,2.5535900500422257,1.5,0.75,0.0,left
49,1634125296.137387,0.04013338854852881,0.010140218958474974,-0.5123704501303536,2.5535900500422257,1.5,0.75,0.0,left
50,1634125296.1493564,0.041004208210065576,0.010097756544410478,-0.5269311097016411,2.5535900500422257,1.5,0.75,0.0,left
51,1634125296.1613615,0.041874317301864035,0.010042619370953323,-0.5414917692729286,2.5535900500422257,1.5,0.75,0.0,left
52,1634125296.173355,0.04274353135291233,0.009974819127683903,-0.5560524288442161,2.5535900500422257,1.5,0.75,0.0,left
53,1634125296.1853633,0.04361166608195536,0.009894370188868155,-0.5706130884155036,2.5535900500422257,1.5,0.75,0.0,left
54,1634125296.1973584,0.04447853743656405,0.009801289610410087,-0.5851737479867911,2.5535900500422257,1.5,0.75,0.0,left
55,1634125296.2093563,0.045343961632156156,0.009695597126235772,-0.5997344075580786,2.5535900500422257,1.5,0.75,0.0,left
56,1634125296.2213655,0.04620775519096027,0.009577315144109576,-0.6142950671293661,2.5535900500422257,1.5,0.75,0.0,left
57,1634125296.2333558,0.04706973498091476,0.00944646874088351,-0.6288557267006536,2.5535900500422257,1.5,0.75,0.0,left
58,1634125296.2453537,0.047929718254493416,0.009303085657180708,-0.6434163862719411,2.5535900500422257,1.5,0.75,0.0,left
59,1634125296.2573607,0.04878752268744959,0.009147196291514165,-0.6579770458432286,2.5535900500422257,1.5,0.75,0.0,left
60,1634125296.2693567,0.049642966417470596,0.008978833693841975,-0.6725377054145161,2.5535900500422257,1.5,0.75,0.0,left
61,1634125296.2813547,0.050495868082734166,0.008798033558560446,-0.6870983649858036,2.5535900500422257,1.5,0.75,0.0,left
62,1634125296.2933636,0.05134604686035878,0.00860483421693656,-0.7016590245570911,2.5535900500422257,1.5,0.75,0.0,left
63,1634125296.3053648,0.05219332250473978,0.008399276628981392,-0.7162196841283786,2.5535900500422257,1.5,0.75,0.0,left
64,1634125296.3173563,0.05303751538576306,0.00818140437476623,-0.730780343699666,2.5535900500422257,1.5,0.75,0.0,left
65,1634125296.329357,0.053878446526888286,0.007951263645183192,-0.7453410032709535,2.5535900500422257,1.5,0.75,0.0,left
66,1634125296.3413627,0.05471593764309353,0.007708903232152344,-0.759901662842241,2.5535900500422257,1.5,0.75,0.0,left
67,1634125296.3533585,0.05554981117867332,0.007454374518277372,-0.7744623224135285,2.5535900500422257,1.5,0.75,0.0,left
68,1634125296.365366,0.056379890344882055,0.007187731465952002,-0.789022981984816,2.5535900500422257,1.5,0.75,0.0,left
69,1634125296.3773656,0.05720599915741484,0.006909030605919484,-0.8035836415561035,2.5535900500422257,1.5,0.75,0.0,left
70,1634125296.3893583,0.058027962473717706,0.006618331025287562,-0.818144301127391,2.5535900500422257,1.5,0.75,0.0,left
71,1634125296.4013593,0.05884560603011948,0.006315694355001474,-0.8327049606986785,2.5535900500422257,1.5,0.75,0.0,left
72,1634125296.4133594,0.059658756478777206,0.006001184756777628,-0.847265620269966,2.5535900500422257,1.5,0.75,0.0,left
73,1634125296.425358,0.0604672414244275,0.005674868909500743,-0.8618262798412535,2.5535900500422257,1.5,0.75,0.0,left
74,1634125296.4373627,0.06127088946093588,0.005336815995087319,-0.876386939412541,2.5535900500422257,1.5,0.75,0.0,left
75,1634125296.4493566,0.06206953020763644,0.00498709768381844,-0.8909475989838285,2.5535900500422257,1.5,0.75,0.0,left
76,1634125296.4613621,0.06286299434545409,0.0046257881191450285,-0.905508258555116,2.5535900500422257,1.5,0.75,0.0,left
77,1634125296.4733565,0.06365111365280171,0.004252963901968764,-0.9200689181264035,2.5535900500422257,1.5,0.75,0.0,left
78,1634125296.4853604,0.06443372104124469,0.003868704074401994,-0.934629577697691,2.5535900500422257,1.5,0.75,0.0,left
79,1634125296.4973576,0.06521065059092516,0.0034730901030100908,-0.9491902372689784,2.5535900500422257,1.5,0.75,0.0,left
80,1634125296.5093598,0.06598173758573855,0.003066205861539803,-0.9637508968402659,2.5535900500422257,1.5,0.75,0.0,left
81,1634125296.5213675,0.06674681854825482,0.0026481376131372598,-0.9783115564115534,2.5535900500422257,1.5,0.75,0.0,left
82,1634125296.533357,0.06750573127437721,0.0022189739920594025,-0.9928722159828409,2.5535900500422257,1.5,0.75,0.0,left
83,1634125296.5453558,0.068258314867731,0.0017788059848827193,-1.0074328755541284,2.5535900500422257,1.5,0.75,0.0,left
84,1634125296.5573611,0.06900440977377492,0.0013277269112132663,-1.021993535125416,2.5535900500422257,1.5,0.75,0.0,left
85,1634125296.5693579,0.06974385781362825,0.0008658324039020654,-1.0365541946967034,2.5535900500422257,1.5,0.75,0.0,left
86,1634125296.5813534,0.07047650221760611,0.0003932203887700737,-1.051114854267991,2.5535900500422257,1.5,0.75,0.0,left
87,1634125296.5933626,0.07120218765845607,-9.000893615297863e-05,-1.0656755138392784,2.5535900500422257,1.5,0.75,0.0,left
88,1634125296.605363,0.07192076028428895,-0.0005837531218714775,-1.0802361734105659,2.5535900500422257,1.5,0.75,0.0,left
89,1634125296.6173604,0.07263206775119682,-0.0010879074901440414,-1.0947968329818534,2.5535900500422257,1.5,0.75,0.0,left
90,1634125296.629357,0.07333595925555124,-0.0016023651556762563,-1.1093574925531409,2.5535900500422257,1.5,0.75,0.0,left
